Month,Region,Main_Category,Sub_Category,Product_Line,Price_Tier,Units_Sold,Revenue_USD,Online_Sales_Percentage,Retail_Price
August,Europe,Apparel,Performance,Compression Wear,Premium,21220,2970800,66,140
May,Europe,Footwear,Lifestyle,Air Force 1,Premium,18939,4355970,78,230
February,America,Apparel,Outerwear,Rain Jacket,Mid-Range,49117,12279250,77,250
September,Greater China,Footwear,Running,Air Zoom,Mid-Range,22363,2236300,56,100
October,Greater China,Apparel,Tops,Therma-FIT,Premium,36093,3248370,80,90
December,Europe,Apparel,Tops,Therma-FIT,Mid-Range,29938,4191320,82,140
December,India,Footwear,Football,Phantom Vision,Budget,29603,3552360,86,120
January,Southeast Asia,Apparel,Tops,Therma-FIT,Budget,5028,1458120,61,290
July,South Korea,Equipment,Socks,Crew Socks,Premium,27507,5226330,81,190
February,Europe,Footwear,Lifestyle,Air Max,Budget,46945,2347250,53,50
December,Europe,Equipment,Accessories,Hats,Mid-Range,32757,3603270,73,110
May,Greater China,Equipment,Bags,Gym Sack,Budget,38906,7392140,68,190
February,America,Equipment,Accessories,Bags,Mid-Range,30682,4909120,61,160
May,Japan,Apparel,Outerwear,Windrunner,Budget,15518,4500220,90,290
October,Europe,Apparel,Tops,Tech Fleece,Budget,32693,9480970,80,290
November,India,Apparel,Outerwear,Windrunner,Premium,28203,2538270,72,90
June,India,Footwear,Cricket,Vapor Cricket,Premium,22074,1986660,87,90
December,Southeast Asia,Footwear,Lifestyle,Air Force 1,Budget,25467,7640100,50,300
November,America,Equipment,Accessories,Bags,Premium,38234,9176160,89,240
December,Greater China,Apparel,Performance,Dri-FIT,Premium,32321,1616050,60,50
October,Japan,Footwear,Basketball,LeBron Series,Premium,33902,4746280,85,140
December,Japan,Apparel,Performance,Dri-FIT,Budget,32475,1948500,65,60
June,Europe,Apparel,Outerwear,Windrunner,Premium,8847,707760,89,80
September,Europe,Apparel,Performance,Dri-FIT,Premium,19422,1747980,67,90
February,Greater China,Equipment,Bags,Gym Sack,Mid-Range,40582,2434920,71,60
January,South Korea,Equipment,Socks,Performance Socks,Premium,26112,2350080,74,90
February,Greater China,Equipment,Socks,Crew Socks,Premium,19653,5109780,62,260
October,Greater China,Footwear,Football,Phantom Vision,Premium,6574,1314800,68,200
December,South Korea,Apparel,Tops,Therma-FIT,Budget,49440,7910400,51,160
August,South Korea,Apparel,Performance,Dri-FIT,Budget,27540,4681800,57,170
August,Europe,Apparel,Tops,Tech Fleece,Mid-Range,13998,3219540,54,230
August,India,Equipment,Accessories,Hats,Budget,14433,3896910,76,270
October,America,Footwear,Lifestyle,Air Force 1,Budget,14744,4275760,54,290
December,India,Footwear,Cricket,Vapor Cricket,Budget,14969,1945970,69,130
July,India,Footwear,Cricket,Vapor Cricket,Premium,46453,12542310,88,270
November,Europe,Footwear,Lifestyle,Blazer,Premium,11602,3016520,72,260
March,Southeast Asia,Apparel,Tops,Tech Fleece,Budget,42594,5537220,62,130
August,Southeast Asia,Apparel,Tops,Therma-FIT,Premium,33352,7003920,86,210
November,America,Apparel,Performance,Compression Wear,Mid-Range,41786,9192920,55,220
December,India,Footwear,Cricket,Vapor Cricket,Budget,44252,6195280,62,140
January,Greater China,Apparel,Outerwear,Rain Jacket,Mid-Range,20117,4828080,75,240
December,India,Apparel,Performance,Dri-FIT,Mid-Range,40025,4402750,85,110
September,South Korea,Footwear,Football,Mercurial,Mid-Range,43362,12574980,73,290
July,Greater China,Equipment,Bags,Gym Sack,Mid-Range,33968,10190400,83,300
March,America,Apparel,Outerwear,Windrunner,Budget,45678,9135600,56,200
April,Europe,Apparel,Tops,Tech Fleece,Premium,23175,5793750,53,250
October,America,Apparel,Outerwear,Rain Jacket,Mid-Range,9049,814410,76,90
September,Greater China,Footwear,Lifestyle,Air Max,Budget,25365,2790150,79,110
January,Southeast Asia,Equipment,Bags,Gym Sack,Budget,13843,1938020,61,140
February,Southeast Asia,Footwear,Lifestyle,Air Force 1,Budget,35728,7145600,60,200
August,India,Equipment,Socks,Crew Socks,Mid-Range,33377,9679330,76,290
April,Japan,Apparel,Outerwear,Windrunner,Budget,28314,5945940,62,210
June,South Korea,Apparel,Performance,Dri-FIT,Premium,37643,10916470,75,290
December,India,Footwear,Football,Mercurial,Mid-Range,27618,4971240,86,180
June,Japan,Footwear,Cricket,Vapor Cricket,Budget,37621,1881050,72,50
September,Greater China,Apparel,Performance,Compression Wear,Premium,25267,2526700,79,100
July,Japan,Apparel,Performance,Compression Wear,Mid-Range,16592,4148000,75,250
November,America,Apparel,Outerwear,Rain Jacket,Mid-Range,49607,7937120,66,160
February,Europe,Apparel,Performance,Dri-FIT,Budget,43928,5710640,77,130
August,Europe,Footwear,Lifestyle,Air Force 1,Budget,33205,8301250,62,250
September,Europe,Footwear,Basketball,LeBron Series,Budget,37183,8923920,62,240
July,Southeast Asia,Footwear,Football,Mercurial,Premium,8844,1503480,54,170
March,Europe,Footwear,Cricket,Vapor Cricket,Premium,39686,7937200,74,200
November,India,Equipment,Bags,Gym Sack,Budget,40146,7627740,58,190
November,Greater China,Apparel,Outerwear,Rain Jacket,Budget,47036,7525760,90,160
November,Japan,Footwear,Football,Phantom Vision,Mid-Range,37697,10932130,56,290
July,India,Apparel,Tops,Therma-FIT,Mid-Range,12534,1253400,71,100
August,America,Equipment,Accessories,Hats,Premium,16469,1646900,54,100
March,Southeast Asia,Equipment,Bags,Backpack,Premium,17306,5018740,84,290
September,Southeast Asia,Footwear,Football,Phantom Vision,Mid-Range,15743,2833740,73,180
June,Japan,Equipment,Accessories,Bags,Premium,47008,8931520,82,190
October,Southeast Asia,Footwear,Cricket,Vapor Cricket,Budget,26778,4552260,60,170
July,America,Apparel,Outerwear,Windrunner,Mid-Range,45702,10054440,85,220
November,India,Apparel,Performance,Dri-FIT,Budget,35001,9450270,89,270
February,India,Apparel,Performance,Compression Wear,Premium,20724,5802720,86,280
August,Japan,Equipment,Socks,Performance Socks,Mid-Range,20899,3970810,88,190
December,Southeast Asia,Equipment,Accessories,Hats,Premium,6354,1461420,88,230
September,Greater China,Equipment,Accessories,Hats,Mid-Range,47675,9058250,66,190
July,Europe,Equipment,Accessories,Hats,Mid-Range,31264,2188480,70,70
September,Japan,Equipment,Socks,Crew Socks,Premium,25606,5889380,72,230
August,Europe,Apparel,Performance,Dri-FIT,Budget,23432,7029600,80,300
October,Greater China,Footwear,Football,Mercurial,Premium,46670,10734100,62,230
July,America,Apparel,Outerwear,Windrunner,Mid-Range,8524,1363840,59,160
March,Southeast Asia,Apparel,Performance,Dri-FIT,Premium,16444,2795480,67,170
January,America,Apparel,Tops,Therma-FIT,Budget,40979,6966430,59,170
July,Europe,Equipment,Accessories,Bags,Budget,7218,938340,90,130
December,India,Equipment,Bags,Gym Sack,Premium,20868,1878120,87,90
January,India,Apparel,Outerwear,Windrunner,Budget,25837,2583700,76,100
May,India,Equipment,Socks,Performance Socks,Premium,6420,642000,56,100
March,Southeast Asia,Equipment,Socks,Crew Socks,Premium,35346,8836500,56,250
October,Greater China,Footwear,Cricket,Vapor Cricket,Premium,37169,1858450,74,50
April,Greater China,Apparel,Outerwear,Rain Jacket,Budget,45530,12748400,58,280
November,South Korea,Equipment,Socks,Performance Socks,Mid-Range,24849,2484900,58,100
June,Greater China,Footwear,Basketball,Air Jordan,Premium,24607,4429260,72,180
October,Europe,Equipment,Socks,Crew Socks,Mid-Range,22460,1347600,67,60
February,Southeast Asia,Apparel,Tops,Tech Fleece,Mid-Range,17571,1932810,52,110
May,India,Footwear,Football,Mercurial,Premium,20632,5776960,90,280
August,South Korea,Equipment,Bags,Gym Sack,Budget,7095,1206150,83,170
July,Southeast Asia,Apparel,Performance,Compression Wear,Budget,9612,1441800,79,150
February,Japan,Apparel,Outerwear,Rain Jacket,Mid-Range,23362,4205160,88,180
February,India,Apparel,Tops,Tech Fleece,Premium,28434,7392840,55,260
March,America,Apparel,Outerwear,Windrunner,Mid-Range,30604,7038920,72,230
May,Southeast Asia,Apparel,Performance,Compression Wear,Budget,12383,1362130,90,110
August,Japan,Apparel,Outerwear,Windrunner,Mid-Range,46249,9249800,53,200
October,Japan,Apparel,Performance,Compression Wear,Budget,43439,3475120,59,80
April,South Korea,Apparel,Tops,Therma-FIT,Premium,49510,3465700,54,70
February,South Korea,Footwear,Running,Air Zoom,Mid-Range,13052,3654560,58,280
August,America,Equipment,Socks,Crew Socks,Premium,28395,6530850,57,230
January,Europe,Apparel,Tops,Therma-FIT,Mid-Range,38487,7697400,81,200
January,South Korea,Footwear,Lifestyle,Blazer,Budget,11484,2871000,51,250
October,Southeast Asia,Footwear,Running,Pegasus,Mid-Range,21146,5709420,70,270
July,Europe,Equipment,Accessories,Hats,Premium,19271,1348970,78,70
June,Greater China,Footwear,Lifestyle,Blazer,Budget,42446,3395680,81,80
March,South Korea,Apparel,Tops,Tech Fleece,Budget,45929,7348640,66,160
January,Southeast Asia,Equipment,Socks,Crew Socks,Premium,17022,1021320,52,60
July,Japan,Apparel,Tops,Tech Fleece,Mid-Range,30406,6081200,87,200
April,Southeast Asia,Apparel,Performance,Compression Wear,Premium,31840,3502400,65,110
December,Japan,Apparel,Performance,Compression Wear,Budget,37396,5609400,59,150
September,Europe,Apparel,Tops,Tech Fleece,Budget,34475,5171250,71,150
June,India,Apparel,Outerwear,Rain Jacket,Budget,19448,2528240,54,130
December,Europe,Equipment,Socks,Performance Socks,Mid-Range,20448,5725440,60,280
February,Greater China,Footwear,Running,Pegasus,Premium,21015,4833450,62,230
May,Europe,Footwear,Basketball,KD Series,Mid-Range,40905,8181000,57,200
July,Greater China,Footwear,Football,Phantom Vision,Budget,14436,1443600,54,100
January,Japan,Apparel,Outerwear,Rain Jacket,Mid-Range,25907,7253960,66,280
May,Southeast Asia,Equipment,Accessories,Hats,Premium,19861,1588880,84,80
December,India,Equipment,Accessories,Hats,Premium,11839,828730,64,70
November,Greater China,Equipment,Accessories,Bags,Budget,32418,4214340,71,130
April,America,Equipment,Bags,Backpack,Budget,45099,9019800,50,200
March,America,Footwear,Football,Mercurial,Mid-Range,14208,3978240,68,280
November,India,Equipment,Socks,Crew Socks,Premium,39891,11568390,64,290
September,South Korea,Equipment,Bags,Backpack,Mid-Range,11286,1467180,88,130
August,Japan,Apparel,Performance,Dri-FIT,Mid-Range,31674,9502200,86,300
February,South Korea,Apparel,Outerwear,Windrunner,Budget,48413,8230210,86,170
June,Japan,Footwear,Running,React Infinity,Premium,13360,3740800,66,280
July,India,Apparel,Tops,Tech Fleece,Mid-Range,18488,2218560,59,120
November,Southeast Asia,Footwear,Football,Mercurial,Mid-Range,10346,1862280,79,180
November,India,Apparel,Performance,Dri-FIT,Mid-Range,49315,9369850,70,190
February,Greater China,Apparel,Tops,Tech Fleece,Mid-Range,31688,7605120,58,240
December,India,Equipment,Accessories,Bags,Budget,35804,5370600,71,150
April,Europe,Apparel,Outerwear,Windrunner,Mid-Range,9045,2442150,86,270
March,Japan,Equipment,Socks,Performance Socks,Premium,11050,1768000,90,160
July,South Korea,Equipment,Bags,Backpack,Mid-Range,39059,5858850,61,150
February,America,Equipment,Socks,Crew Socks,Budget,21955,3512800,87,160
February,South Korea,Footwear,Lifestyle,Air Max,Budget,36286,1814300,64,50
February,India,Footwear,Running,Air Zoom,Budget,29636,7409000,73,250
August,Japan,Equipment,Socks,Performance Socks,Premium,49808,6973120,53,140
June,Southeast Asia,Footwear,Running,React Infinity,Premium,20135,1208100,85,60
November,America,Equipment,Accessories,Hats,Premium,5398,1403480,89,260
September,India,Apparel,Tops,Therma-FIT,Mid-Range,49772,6968080,83,140
September,Greater China,Equipment,Socks,Crew Socks,Premium,20657,1239420,72,60
September,Southeast Asia,Equipment,Bags,Backpack,Budget,9556,2006760,81,210
August,Southeast Asia,Apparel,Outerwear,Rain Jacket,Premium,24716,3707400,56,150
July,Japan,Apparel,Performance,Dri-FIT,Premium,36813,9571380,90,260
February,India,Apparel,Tops,Tech Fleece,Budget,38922,9341280,78,240
June,India,Equipment,Bags,Backpack,Budget,21700,5642000,76,260
November,India,Equipment,Socks,Crew Socks,Premium,30607,1530350,67,50
December,Southeast Asia,Footwear,Basketball,LeBron Series,Premium,41927,8804670,69,210
February,Europe,Footwear,Basketball,Air Jordan,Premium,14104,1410400,85,100
March,Southeast Asia,Apparel,Tops,Therma-FIT,Mid-Range,48694,14608200,53,300
December,India,Apparel,Performance,Dri-FIT,Mid-Range,41095,3698550,81,90
June,India,Apparel,Performance,Compression Wear,Mid-Range,14939,2987800,58,200
April,Japan,Footwear,Running,Pegasus,Budget,10699,1925820,75,180
April,America,Footwear,Cricket,Vapor Cricket,Budget,13044,2347920,56,180
June,America,Apparel,Tops,Therma-FIT,Mid-Range,10066,1912540,72,190
December,India,Footwear,Football,Mercurial,Mid-Range,43215,10371600,72,240
April,India,Equipment,Socks,Performance Socks,Premium,31752,5080320,89,160
January,America,Footwear,Cricket,Vapor Cricket,Budget,28077,3930780,66,140
October,South Korea,Equipment,Bags,Backpack,Budget,38088,11045520,70,290
January,South Korea,Apparel,Outerwear,Windrunner,Budget,15527,1086890,81,70
September,India,Apparel,Outerwear,Rain Jacket,Mid-Range,25307,4555260,63,180
December,India,Footwear,Cricket,Vapor Cricket,Premium,27087,7584360,75,280
June,India,Apparel,Tops,Tech Fleece,Budget,30241,7257840,74,240
January,Southeast Asia,Apparel,Tops,Tech Fleece,Budget,36693,2201580,55,60
July,India,Apparel,Outerwear,Rain Jacket,Budget,22371,4921620,50,220
March,South Korea,Apparel,Tops,Therma-FIT,Budget,29212,5550280,54,190
May,Greater China,Equipment,Bags,Gym Sack,Budget,41079,6161850,84,150
May,South Korea,Footwear,Lifestyle,Air Force 1,Premium,24535,4170950,71,170
October,Greater China,Footwear,Cricket,Vapor Cricket,Premium,18106,4164380,68,230
March,India,Apparel,Tops,Therma-FIT,Budget,20599,4737770,57,230
February,America,Equipment,Socks,Performance Socks,Budget,19586,3721340,51,190
January,Greater China,Equipment,Accessories,Bags,Mid-Range,45518,10924320,87,240
October,Greater China,Equipment,Bags,Backpack,Mid-Range,9831,2949300,68,300
September,India,Equipment,Accessories,Hats,Budget,42842,9425240,62,220
June,America,Equipment,Socks,Crew Socks,Budget,31869,7648560,74,240
September,Greater China,Apparel,Tops,Tech Fleece,Budget,26433,4493610,77,170
April,Greater China,Apparel,Outerwear,Windrunner,Premium,44154,13246200,50,300
November,Japan,Footwear,Running,Pegasus,Mid-Range,11072,775040,54,70
December,Europe,Apparel,Tops,Therma-FIT,Budget,32012,9603600,68,300
March,America,Footwear,Football,Mercurial,Mid-Range,45408,4086720,90,90
May,South Korea,Equipment,Socks,Performance Socks,Premium,49226,6891640,85,140
August,America,Equipment,Bags,Backpack,Mid-Range,26258,4726440,55,180
July,Europe,Apparel,Tops,Therma-FIT,Budget,29472,7662720,58,260
February,South Korea,Apparel,Tops,Therma-FIT,Budget,45392,12255840,72,270
April,Southeast Asia,Equipment,Accessories,Bags,Premium,40254,10466040,58,260
February,Greater China,Equipment,Bags,Gym Sack,Mid-Range,40110,2807700,71,70
August,Greater China,Equipment,Bags,Gym Sack,Budget,14684,2055760,81,140
September,Europe,Equipment,Accessories,Hats,Mid-Range,29332,8506280,63,290
December,Europe,Equipment,Bags,Backpack,Mid-Range,32488,9421520,77,290
March,Southeast Asia,Equipment,Accessories,Bags,Budget,34976,10143040,81,290
December,South Korea,Apparel,Performance,Compression Wear,Budget,5301,1484280,89,280
October,Greater China,Apparel,Outerwear,Windrunner,Premium,36648,6230160,68,170
December,Greater China,Equipment,Accessories,Hats,Premium,25857,4654260,79,180
April,India,Apparel,Performance,Dri-FIT,Mid-Range,37722,3017760,64,80
January,Greater China,Apparel,Tops,Therma-FIT,Mid-Range,33638,3027420,68,90
March,America,Footwear,Basketball,LeBron Series,Premium,41534,5814760,56,140
January,Japan,Equipment,Bags,Backpack,Budget,38021,4182310,61,110
September,Europe,Apparel,Tops,Therma-FIT,Mid-Range,37325,2612750,59,70
June,Southeast Asia,Equipment,Accessories,Bags,Budget,20952,3561840,79,170
September,India,Equipment,Accessories,Hats,Premium,45895,12850600,56,280
October,India,Apparel,Performance,Compression Wear,Mid-Range,32295,6459000,82,200
October,South Korea,Apparel,Tops,Therma-FIT,Budget,9299,464950,59,50
August,Japan,Equipment,Accessories,Hats,Budget,46727,3738160,76,80
September,India,Equipment,Socks,Performance Socks,Budget,6482,972300,65,150
May,South Korea,Footwear,Football,Mercurial,Mid-Range,41555,2908850,83,70
September,Europe,Footwear,Basketball,KD Series,Premium,18476,3879960,70,210
August,India,Equipment,Socks,Performance Socks,Premium,29723,8025210,71,270
July,India,Footwear,Running,React Infinity,Budget,9468,1136160,51,120
June,Southeast Asia,Apparel,Outerwear,Windrunner,Budget,13888,1944320,69,140
April,Greater China,Footwear,Lifestyle,Air Max,Mid-Range,7166,358300,77,50
March,South Korea,Equipment,Accessories,Bags,Budget,19819,2180090,90,110
February,India,Apparel,Tops,Tech Fleece,Mid-Range,25048,3256240,81,130
March,Greater China,Apparel,Performance,Compression Wear,Premium,5985,1197000,64,200
March,Southeast Asia,Apparel,Outerwear,Rain Jacket,Mid-Range,17951,3590200,57,200
December,Greater China,Footwear,Football,Phantom Vision,Mid-Range,44234,9731480,56,220
May,America,Footwear,Lifestyle,Air Force 1,Mid-Range,7516,1202560,75,160
August,Greater China,Equipment,Socks,Crew Socks,Budget,13150,3024500,73,230
October,Europe,Footwear,Basketball,LeBron Series,Budget,14646,2489820,77,170
March,India,Equipment,Accessories,Bags,Budget,35223,4578990,80,130
November,America,Footwear,Running,Pegasus,Mid-Range,29941,2395280,60,80
August,America,Apparel,Outerwear,Rain Jacket,Mid-Range,41476,11198520,77,270
September,Southeast Asia,Equipment,Bags,Backpack,Budget,43727,6121780,72,140
September,Japan,Footwear,Lifestyle,Air Force 1,Mid-Range,17902,1611180,65,90
June,India,Equipment,Accessories,Hats,Mid-Range,7966,1672860,58,210
April,India,Equipment,Bags,Backpack,Mid-Range,7918,1029340,64,130
April,India,Apparel,Tops,Therma-FIT,Mid-Range,47144,3300080,79,70
December,America,Footwear,Lifestyle,Air Max,Budget,24291,6558570,76,270
March,Japan,Footwear,Running,Air Zoom,Premium,32367,9386430,71,290
December,Greater China,Apparel,Outerwear,Windrunner,Mid-Range,18093,4342320,60,240
October,America,Apparel,Performance,Compression Wear,Budget,12917,1937550,75,150
November,Southeast Asia,Equipment,Socks,Crew Socks,Premium,36635,3663500,71,100
October,Greater China,Apparel,Tops,Tech Fleece,Budget,49105,7365750,84,150
January,India,Equipment,Bags,Gym Sack,Mid-Range,36483,8391090,70,230
May,America,Equipment,Socks,Performance Socks,Budget,39080,2344800,66,60
May,Europe,Apparel,Performance,Compression Wear,Mid-Range,17357,1041420,76,60
September,India,Footwear,Football,Mercurial,Budget,9310,2234400,77,240
February,Europe,Footwear,Running,React Infinity,Budget,26264,6566000,82,250
September,America,Footwear,Cricket,Vapor Cricket,Budget,16306,4239560,65,260
February,Japan,Equipment,Bags,Backpack,Budget,34648,8662000,86,250
July,Greater China,Apparel,Outerwear,Rain Jacket,Budget,22720,6134400,62,270
May,South Korea,Apparel,Outerwear,Windrunner,Mid-Range,22115,5749900,81,260
September,Japan,Footwear,Running,Air Zoom,Budget,17475,5242500,66,300
November,India,Equipment,Accessories,Hats,Budget,19905,1592400,72,80
April,South Korea,Equipment,Bags,Backpack,Premium,25935,3112200,62,120
July,India,Apparel,Outerwear,Rain Jacket,Premium,24791,6693570,64,270
April,Japan,Equipment,Accessories,Bags,Premium,42503,8075570,55,190
May,America,Apparel,Performance,Compression Wear,Mid-Range,22852,6627080,58,290
March,Europe,Footwear,Cricket,Vapor Cricket,Premium,46131,5074410,84,110
February,Greater China,Apparel,Performance,Compression Wear,Mid-Range,8085,404250,85,50
September,Japan,Footwear,Football,Mercurial,Budget,31557,3786840,82,120
March,Japan,Footwear,Football,Phantom Vision,Mid-Range,39353,9051190,51,230
October,South Korea,Apparel,Tops,Tech Fleece,Mid-Range,22174,3104360,60,140
September,Southeast Asia,Equipment,Socks,Performance Socks,Budget,31434,5029440,81,160
October,America,Equipment,Bags,Backpack,Premium,15693,4237110,61,270
August,America,Footwear,Running,React Infinity,Budget,13144,920080,73,70
December,America,Apparel,Performance,Dri-FIT,Premium,21823,6546900,55,300
February,Southeast Asia,Apparel,Tops,Tech Fleece,Premium,42443,2546580,54,60
November,India,Equipment,Accessories,Bags,Mid-Range,41655,7914450,89,190
September,South Korea,Equipment,Bags,Gym Sack,Budget,7510,826100,52,110
December,Greater China,Apparel,Performance,Dri-FIT,Budget,17534,2630100,68,150
April,Europe,Footwear,Football,Mercurial,Premium,21644,5627440,64,260
November,Europe,Equipment,Accessories,Hats,Premium,42755,8123450,56,190
July,America,Footwear,Football,Mercurial,Budget,7886,1656060,84,210
June,India,Footwear,Cricket,Vapor Cricket,Premium,45908,12854240,83,280
April,Japan,Footwear,Basketball,Air Jordan,Mid-Range,11441,2059380,50,180
July,South Korea,Equipment,Socks,Performance Socks,Premium,8582,1630580,88,190
July,Southeast Asia,Footwear,Lifestyle,Air Force 1,Premium,24571,4668490,76,190
October,Japan,Apparel,Performance,Compression Wear,Mid-Range,23265,2791800,68,120
September,Greater China,Apparel,Performance,Compression Wear,Budget,16048,2567680,55,160
April,Japan,Apparel,Outerwear,Rain Jacket,Budget,11929,2027930,55,170
September,Japan,Equipment,Accessories,Bags,Premium,18012,2161440,89,120
June,Southeast Asia,Footwear,Cricket,Vapor Cricket,Budget,17105,3763100,52,220
December,Japan,Footwear,Cricket,Vapor Cricket,Mid-Range,48239,13989310,55,290
June,Southeast Asia,Equipment,Bags,Gym Sack,Mid-Range,35378,3184020,55,90
June,India,Equipment,Bags,Backpack,Budget,18421,4421040,63,240
December,South Korea,Equipment,Accessories,Bags,Premium,38527,2311620,73,60
September,America,Equipment,Bags,Gym Sack,Mid-Range,33938,3054420,72,90
September,America,Equipment,Socks,Crew Socks,Mid-Range,36001,4320120,77,120
September,South Korea,Footwear,Lifestyle,Air Force 1,Mid-Range,45981,7816770,69,170
February,Southeast Asia,Equipment,Socks,Performance Socks,Mid-Range,37934,9483500,87,250
November,Greater China,Equipment,Socks,Performance Socks,Budget,28857,6925680,54,240
August,South Korea,Equipment,Bags,Backpack,Premium,39481,4342910,55,110
September,Europe,Footwear,Basketball,Air Jordan,Premium,47844,5262840,89,110
January,South Korea,Footwear,Cricket,Vapor Cricket,Budget,47739,14321700,83,300
December,Southeast Asia,Equipment,Socks,Crew Socks,Premium,35535,7107000,84,200
December,India,Footwear,Lifestyle,Air Max,Budget,28409,4545440,60,160
March,America,Equipment,Socks,Performance Socks,Premium,28418,1989260,90,70
May,Japan,Apparel,Outerwear,Windrunner,Mid-Range,10974,2743500,77,250
December,South Korea,Equipment,Bags,Backpack,Mid-Range,49542,13871760,61,280
December,Europe,Equipment,Bags,Gym Sack,Premium,13770,1101600,75,80
June,America,Footwear,Running,Pegasus,Mid-Range,28729,3447480,89,120
May,Greater China,Equipment,Accessories,Bags,Budget,22736,6138720,64,270
September,Greater China,Apparel,Tops,Therma-FIT,Premium,13352,667600,57,50
May,Japan,Equipment,Socks,Crew Socks,Mid-Range,12389,3468920,61,280
September,Greater China,Footwear,Lifestyle,Air Max,Budget,33989,4418570,51,130
August,Japan,Footwear,Lifestyle,Blazer,Premium,39447,8678340,59,220
September,Greater China,Apparel,Outerwear,Windrunner,Premium,41665,10832900,60,260
July,Southeast Asia,Footwear,Lifestyle,Air Force 1,Mid-Range,48935,11255050,75,230
April,Greater China,Footwear,Cricket,Vapor Cricket,Mid-Range,31306,8452620,79,270
July,South Korea,Apparel,Outerwear,Rain Jacket,Mid-Range,9218,1659240,88,180
March,Southeast Asia,Footwear,Running,Pegasus,Budget,17097,2906490,90,170
May,Greater China,Footwear,Lifestyle,Blazer,Premium,20719,1864710,65,90
September,Greater China,Footwear,Basketball,LeBron Series,Budget,12456,996480,80,80
May,Greater China,Equipment,Bags,Gym Sack,Budget,36767,9559420,52,260
October,South Korea,Equipment,Bags,Backpack,Premium,35801,3938110,63,110
November,Japan,Apparel,Outerwear,Rain Jacket,Mid-Range,42813,10703250,78,250
October,Europe,Apparel,Outerwear,Windrunner,Mid-Range,40882,6132300,62,150
January,America,Footwear,Football,Mercurial,Mid-Range,11227,2582210,50,230
July,India,Footwear,Lifestyle,Blazer,Budget,31163,6544230,76,210
June,Europe,Footwear,Cricket,Vapor Cricket,Budget,46617,5594040,57,120
February,Japan,Equipment,Bags,Backpack,Budget,43543,10014890,58,230
June,Southeast Asia,Equipment,Bags,Gym Sack,Budget,14871,3717750,76,250
December,Europe,Equipment,Socks,Crew Socks,Mid-Range,49189,14264810,61,290
April,Greater China,Apparel,Tops,Therma-FIT,Mid-Range,37179,5948640,63,160
August,Japan,Footwear,Basketball,Air Jordan,Premium,21319,5116560,77,240
August,India,Equipment,Accessories,Bags,Mid-Range,18855,3205350,59,170
September,Japan,Apparel,Performance,Compression Wear,Mid-Range,35777,7513170,87,210
October,India,Footwear,Lifestyle,Air Force 1,Mid-Range,48761,6826540,86,140
January,India,Equipment,Bags,Gym Sack,Premium,33330,4332900,58,130
August,South Korea,Apparel,Tops,Therma-FIT,Premium,38300,8043000,77,210
May,Southeast Asia,Footwear,Basketball,LeBron Series,Budget,40333,3226640,70,80
September,Greater China,Footwear,Lifestyle,Air Force 1,Budget,19589,3721910,74,190
January,India,Apparel,Outerwear,Rain Jacket,Mid-Range,29713,3862690,61,130
August,South Korea,Footwear,Basketball,LeBron Series,Budget,25822,1549320,83,60
May,America,Equipment,Socks,Crew Socks,Mid-Range,47868,12924360,68,270
February,Southeast Asia,Equipment,Bags,Gym Sack,Premium,14342,4302600,55,300
October,Greater China,Apparel,Outerwear,Rain Jacket,Budget,47459,8542620,72,180
February,India,Footwear,Lifestyle,Air Force 1,Premium,33324,5665080,85,170
December,America,Apparel,Tops,Therma-FIT,Mid-Range,48156,4815600,77,100
November,South Korea,Apparel,Outerwear,Rain Jacket,Budget,9668,773440,50,80
September,Greater China,Footwear,Cricket,Vapor Cricket,Mid-Range,46497,13019160,55,280
May,India,Equipment,Bags,Gym Sack,Budget,40023,4402530,72,110
November,South Korea,Apparel,Performance,Dri-FIT,Mid-Range,20895,5014800,71,240
January,Greater China,Apparel,Outerwear,Rain Jacket,Premium,38015,11404500,88,300
January,South Korea,Equipment,Bags,Gym Sack,Premium,45608,11402000,61,250
June,Southeast Asia,Equipment,Socks,Crew Socks,Premium,6685,2005500,52,300
October,Europe,Footwear,Running,Pegasus,Mid-Range,27118,7864220,72,290
June,Greater China,Footwear,Basketball,KD Series,Premium,15574,2803320,63,180
November,Southeast Asia,Apparel,Performance,Compression Wear,Budget,34614,4153680,89,120
July,Japan,Apparel,Outerwear,Rain Jacket,Budget,19804,3366680,64,170
February,America,Footwear,Football,Phantom Vision,Mid-Range,26040,7291200,56,280
February,Europe,Apparel,Performance,Compression Wear,Budget,25668,3080160,73,120
February,Japan,Equipment,Accessories,Bags,Budget,16912,4904480,63,290
June,Europe,Apparel,Outerwear,Rain Jacket,Premium,20702,4347420,64,210
September,Greater China,Apparel,Outerwear,Rain Jacket,Budget,48498,4849800,71,100
November,Southeast Asia,Apparel,Performance,Dri-FIT,Mid-Range,20355,2239050,70,110
July,Greater China,Apparel,Outerwear,Rain Jacket,Budget,35570,2845600,53,80
February,Greater China,Equipment,Accessories,Bags,Mid-Range,29655,5931000,90,200
February,South Korea,Footwear,Lifestyle,Blazer,Budget,27263,8178900,52,300
April,America,Footwear,Cricket,Vapor Cricket,Mid-Range,29642,8892600,83,300
March,America,Footwear,Cricket,Vapor Cricket,Mid-Range,24934,3490760,50,140
